NODE_ID,ARS-ID,정류소명,좌표X,좌표Y
100900021,01520,양현관,126.9936155639,37.5897963848
100900017,01521,국민생활관,126.99888615,37.5898299497
100900016,01522,오거리,126.9622896284,37.6070850345
100900015,01523,경희궁자이2.3단지,126.9639580128,37.5687281289
100900013,01524,창신쌍용2단지.한성대후문,127.012764,37.581314
100900045,01525,통일부,126.9856443966,37.5875737686
100900011,01526,원서고개,126.9878078276,37.5831392865
100900009,01528,종로5가입구.혜화경찰서,126.9976354074,37.5717519731
100900007,01529,삼청파출소,126.9812526796,37.5818129472
100900005,01530,오거리.한옥마을입구,126.969546811,37.5794991106
100900046,01531,명륜시장.성대후문,126.9952894617,37.5885243498
100900003,01532,혜화초등학교,126.999881725,37.5872586093
100900072,01533,청련사입구,126.9624033159,37.6080241273
100900071,01534,영천시장,126.9627338788,37.5699374908
100900070,01535,명신초.삼선푸르지오.힐스테이트,127.0145302942,37.5821474738
100900069,01536,감사원,126.9853527235,37.586300211
100900068,01537,중앙중고,126.986964643,37.5831301356
100900067,01538,인왕빌딩,126.9576747675,37.6078776053
100900066,01539,종로4가.종묘공원,126.9944654727,37.5705694658
100900174,01540,국립민속박물관,126.9795529385,37.5792552245
100900065,01541,광화문새마을금고,126.9711439779,37.579429898
100900064,01542,새마을금고,126.996533,37.587764
100900063,01543,혜화우체국,127.0006520186,37.5860600483
100900062,01544,언덕앞,126.9637501759,37.6089778424
100900061,01545,경희궁자이4단지,126.9620022341,37.5706271812
100900060,01546,종로센트레빌후문.e편한세상보문아파트,127.0161804993,37.5818155069
100900059,01547,사우디대사관앞.경남빌라,126.9850108305,37.5841060522
100900058,01548,안국선원.삼거리,126.9849936691,37.582790982
100900182,01549,구기터널입구,126.9568022595,37.6082474751
100900057,01550,종로3가.1.3.5호선,126.9920672899,37.5710576982
100900056,01551,경복궁,126.9794156341,37.5769491923
100900054,01553,소나무집,126.9641242035,37.6113353268
100900186,01554,독립문역3번출구,126.9596864458,37.5728405557
100900053,01555,청룡사.보문파크뷰자이아파트,127.0170513118,37.5800194741
100900052,01556,북촌한옥마을입구.정세권활동터,126.984979219,37.5815994494
100900217,01557,종로1.2.3.4가동주민센터,126.9910278513,37.5743637018
100900051,01558,창덕궁,126.9905175979,37.5760697805
100900050,01561,아름다운실버,126.965434339,37.6120220057
100900049,01562,독립문초등학교,126.9607061207,37.5738598134
100900206,01563,종로센트레빌아파트,127.0156406862,37.5803496894
100900048,01564,가회동주민센터,126.9849330874,37.5799374011
100900097,01565,구기빌라,126.9579491594,37.6062969015
100900096,01566,원남로터리,126.9973507275,37.576224864
100900095,01567,보현산신각,126.9657636563,37.6134764117
100900094,01568,천사유치원,126.9618149025,37.5746770486
100900093,01569,쌍용아파트입구.창신역,127.015000669,37.5805106317
100900092,01570,아름다운가게.정독도서관,126.9850931533,37.5789193765
100900091,01571,산정빌라,126.9574984945,37.6051527285
100900090,01572,이화사거리,127.0021146635,37.5764712733
100900089,01573,박종화고택입구,126.9676636826,37.6143323789
100900088,01574,무악현대아파트후문,126.9619725305,37.5763082198
100900086,01576,헌법재판소.안국역,126.9857195563,37.5775732679
100900184,01577,청구빌라,126.9569707206,37.6046124743
100900085,01578,서울대어린이병원응급실.갑상선센터,126.9994855913,37.5781545815
100900083,01580,화인빌라,126.968548374,37.6129750944
100900082,01581,넓은마당,126.9628884426,37.5752729661
100900207,01582,창신초등학교,127.0153870046,37.5769031178
100900081,01583,수운회관,126.9866594846,37.5751924623
100900080,01584,상명대후문,126.9573503086,37.6040312016
100900079,01586,힐탑,126.9690414211,37.6116396375
100900187,01587,신학대학교총회본부,126.963443511,37.5739759776
100900078,01589,낙원상가,126.987422783,37.5737257903
100900077,01590,완성빌라,126.9575212198,37.6034067236
100900076,01591,서울대병원장례식장,126.997425207,37.5805363861
100900075,01592,혜화역1번출구,127.0017605774,37.5834355871
100900074,01593,감나무골공원,126.9699424574,37.6124056849
100900073,01594,한국사회과학자료원,126.9640914803,37.5736515486
100900205,01595,동묘역,127.0142449326,37.5726953027
100900121,01596,금강제화,126.9875700098,37.5705509581
100900120,01597,경진빌라,126.9578485124,37.601990957
100900198,01598,성균관대학교앞,126.9992643769,37.5833795256
100000416,01601,청와대,126.9737030342,37.5827454492
100000417,01602,춘추문,126.9798548785,37.5829686732
100000418,01603,경복궁.국립민속박물관,126.9796247398,37.5795059833
100900119,01607,EN갤러리,126.9706925648,37.6134476936
100900118,01667,종로문화센터,126.9645715447,37.5746630197
100900117,01682,동대문역.2번출구,127.0117451146,37.5719880517
100900116,01683,종각역YMCA,126.9853306315,37.5702769422
100900115,01684,서교빌라,126.9571666115,37.6020376855
100900177,01685,경복궁역,126.9723959832,37.5770552749
100900199,01697,성대입구,126.9989020621,37.5832326513
100900114,01698,무애사,126.9718334824,37.6139007744
100900113,01699,단군성전앞,126.9652997161,37.5755877298
100900192,01702,동대문종합시장,127.0062452076,37.5711646171
100900112,01714,상명초등학교,126.9566832472,37.6009368253
100900179,01720,법련사,126.9795902866,37.5765892665
100900111,01721,광화문새마을금고,126.9710253248,37.5795471405
100900110,01722,성균관대학교,126.9971586573,37.5850173186
100900109,01723,참샘골공원,126.9741218742,37.6146083208
100900108,01724,활터앞,126.9653645968,37.5768524783
100900107,01725,종로5가.3번출구,127.0019716625,37.5714220587
100900106,01727,인사동들머리.3.1독립선언터,126.9832650777,37.5720296764
100900105,01728,정독도서관,126.9800442138,37.580217717
100900104,01729,오거리.한옥마을입구,126.9697373674,37.5795113176
100900103,01732,평창공원지킴터입구,126.9757356724,37.6163974196
100000360,01733,창경궁.고궁호텔.메이플레이스호텔,126.9973099621,37.576547748
100000329,01762,광화문,126.9738307648,37.5701950496
100000330,01763,종로1가,126.9804546746,37.5702649981
100000333,01766,종로2가,126.9855773625,37.5700873247
100000334,01767,종로3가,126.990753581,37.5704277575
100000335,01768,종로3가,126.990982251,37.5702540089
100000336,01769,종로4가,126.996855916,37.5705663824
100000338,01771,동대문종합시장종로6가,127.0032037989,37.5709129822
100900102,01776,종로도서관,126.9670811749,37.5765433371
100000343,01777,경복궁역,126.9714986593,37.5760815631
100000344,01778,경복궁역,126.9713268171,37.5759086408
100000345,01779,안국역,126.9853059865,37.5765189441
100000346,01780,안국역,126.9854280305,37.5764286776
100000347,01781,창덕궁,126.988901037,37.5774229072
100000348,01782,성대입구,126.9995811411,37.5836656381
100900101,01790,종로사우나,126.9875872057,37.5737413187
100900180,01791,엄마분식,126.9557384547,37.6012662353
100900100,01792,삼청파출소,126.9812397979,37.5816827285
100900099,01793,통인시장.종로구보건소,126.9686739966,37.5803270229
100900191,01794,종로5가역,127.0000158599,37.5707777845
100900098,01795,평창동산림제3초소,126.9770156594,37.6172703612
100900145,01796,배화여중고,126.9678404333,37.5767653931
100900143,01797,대학로입구.이화사거리,127.0025920596,37.5760857672
100900144,01798,운현궁,126.9868070503,37.5752320419
100900142,01799,상명대입구,126.9570082781,37.6000343037
100900141,01800,삼청동주민센터,126.9820670354,37.5847005101
100900140,01801,박노수미술관,126.9669162112,37.5810715032
100900139,01802,김창열.윤명로화실,126.9783838676,37.6163425637
100900138,01803,사직동주민센터,126.9689265111,37.5762630284
100900137,01804,충신시장,127.0054957128,37.5750215615
100900189,01805,안국역2번출구앞,126.9860701417,37.577156405
100900135,01807,금융연수원,126.9817788105,37.5858665158
100900134,01809,감람산기도원,126.9798977194,37.6159485888
100900133,01810,카센터.터널앞,126.9659498257,37.5740167762
100900131,01812,재동초등학교,126.9852803168,37.5787678704
100900129,01814,삼청공원삼거리.옥호정터,126.981711424,37.5874176662
100900128,01815,이화사거리,127.0021612506,37.575324436
100900127,01816,연화정사,126.9795064106,37.6146506734
100900126,01817,대신중고,126.9616840763,37.5724834461
100900125,01819,현대사거리,126.9866292861,37.5792737665
100900215,01820,교남동주민센터,126.9613244496,37.5721865287
100900181,01821,부암동주민센터.무계원,126.9639626251,37.5929702925
100900124,01823,형제봉입구,126.9816903604,37.6128678545
100900123,01824,교남동새마을금고,126.9623511123,37.5715471715
100900122,01825,창신초교,127.0155599726,37.5760028897
100900168,01826,가회동주민센터,126.9850462575,37.5799442565
100900167,01827,볼링장,126.9879587338,37.5792882137
100900166,01829,부암슈퍼,126.9636761898,37.5947434744
100900165,01830,지구촌교회,126.9793713925,37.6130836459
100900164,01831,월암공원,126.9640608772,37.5712016733
100900163,01832,숭인1동주민센터,127.0154152355,37.5774068265
100900162,01833,북촌한옥마을입구.정세권활동터,126.985087441,37.5812823454
100900161,01835,하림각,126.962935749,37.5976611837
100900160,01836,보현빌라,126.9782676847,37.6152734185
100900159,01837,스위스대사관,126.9658537057,37.5700201439
100900157,01839,안국선원.삼거리,126.9851065205,37.5827441387
100900156,01840,세검정교회,126.959437574,37.5994997517
100900200,01841,혜화동로터리,127.001025,37.585841
100900155,01842,김종영미술관,126.978167405,37.6132845834
100900154,01843,서울시교육청,126.966867,37.569301
100900210,01844,창신쌍용1단지.종로센트레빌아파트,127.0155933426,37.5803236367
100900153,01845,사우디대사관,126.9851203668,37.5838643051
100900152,01846,상명대입구,126.9573862743,37.5998416021
100900151,01847,혜화초등학교,126.9999339318,37.5873791565
100900149,01849,강북삼성병원,126.968377426,37.5685509192
100900148,01850,청룡사.보문파크뷰자이아파트,127.0170715626,37.5798074224
100900147,01851,감사원,126.9855847062,37.5863002551
100900201,01852,국민생활관,126.999259493,37.5896185675
100900173,01855,종로센트레빌후문.e편한세상보문아파트,127.0162426655,37.5819267884
100900172,01856,통일부,126.9862356221,37.5875046072
100900171,01858,서울국제고등학교,126.997135718,37.5890764237
100900203,01860,성대후문.와룡공원,126.9898018201,37.5890441361
100900170,01861,상명초등학교,126.9568039885,37.6009103208
100900169,01862,새마을금고,126.996591,37.587869
